RealTime dt Acc1 Acc2 Acc3 Vel1 Vel2 Vel3 Pos1 Pos2 Pos3 AccMag VelMag
637571289775826420 0 0,001235962 0,006027222 0,01097107 -1,4E-05 1,766E-05 3,874E-05 -1,064045E-07 1,598729E-07 9,494259E-08 0,01257853 4,481811E-05
637571289776036451 0 0,001037598 0,0009613037 0,00668335 -1,4E-05 2,118E-05 4,577999E-05 -1,162605E-07 1,735446E-07 1,246936E-07 0,006831389 5,234883E-05
637571289776226411 0 -0,0002288818 0,004669189 0,007888794 -1,4E-05 2,118E-05 5,281999E-05 -1,261165E-07 1,884553E-07 1,594008E-07 0,009169885 5,860498E-05
637571289776437347 0 -0,002822876 -0,003326416 0,005020142 -1,4E-05 2,118E-05 5,973999E-05 -1,358045E-07 2,031119E-07 1,983466E-07 0,006650977 6,491116E-05
637571289776617342 0 0,001480103 -0,003082275 0,007858276 -1,4E-05 2,118E-05 6,669999E-05 -1,455485E-07 2,178532E-07 2,423477E-07 0,008569926 7,136863E-05
637571289776837352 0 -0,001571655 -0,003829956 -0,00843811 -1,4E-05 2,118E-05 6,669999E-05 -1,554605E-07 2,328486E-07 2,895713E-07 0,009398956 7,136863E-05
637571289777057355 0 0,004943848 -0,01074219 0,002502441 -1,4E-05 1,768E-05 6,319999E-05 -1,652605E-07 2,464496E-07 3,350363E-07 0,01208712 6,710306E-05
637571289777237341 9912 0,007156372 -0,007263184 0,02452087 -1,042E-05 1,052E-05 7,035999E-05 -1,740028E-07 2,565452E-07 3,828507E-07 0,02655637 7,190115E-05
637571289777437355 0 0,0001220703 0,00177002 0,02937317 -6,999999E-06 7,1E-06 8,745999E-05 -1,799605E-07 2,625712E-07 4,368252E-07 0,02942671 8,802648E-05
637571289777627464 0 6,103516E-05 0,01005554 0,03381348 -6,999999E-06 1,058E-05 0,00010834 -1,848325E-07 2,687239E-07 5,049636E-07 0,03527703 0,0001090802
637571289777827444 0 -0,008102417 0,02182007 0,03468323 -1,052E-05 2,114E-05 0,00012946 -1,909995E-07 2,798893E-07 5,886691E-07 0,0417695 0,0001315958
637571289778047344 0 -0,002471924 0,0219574 0,04330444 -1,4E-05 3,506E-05 0,00015382 -1,995325E-07 2,994469E-07 6,872506E-07 0,04861597 0,000158385
637571289778247351 10003 -0,003967285 0,009048462 0,03822327 -1,4E-05 4,556E-05 0,00018182 -2,093325E-07 3,276639E-07 8,047246E-07 0,03947952 0,0001879634
637571289778457384 10029 -0,001342773 0,008666992 0,02912903 -1,4E-05 5,248E-05 0,00020604 -2,190205E-07 3,615858E-07 9,389241E-07 0,03042072 0,0002130789
637571289778647368 0 -0,006347656 0,009078979 0,0209198 -1,748E-05 5,944E-05 0,00022344 -2,299755E-07 4,005339E-07 1,088383E-06 0,0236719 0,0002318709
637571289778837358 9992 -0,001907349 0,00894165 0,001846313 -2,098E-05 6,644E-05 0,00023044 -2,434365E-07 4,445919E-07 1,247241E-06 0,009327377 0,0002407427
637571289779037461 0 -0,0009613037 -0,0004425049 0,006942749 -2,098E-05 6,988E-05 0,00023388 -2,578708E-07 4,91486E-07 1,406967E-06 0,00702294 0,0002449964
